flight_number,origin_station_code,destination_station_code,record_locator,scheduled_departure_date,question_text,score,satisfaction_type,driver_sub_group1,driver_sub_group2,arrival_delay_minutes,arrival_delay_group,cabin_code_desc,cabin_name,entity,number_of_legs,seat_factor_band,loyalty_program_level,generation,fleet_type_description,fleet_usage,equipment_type_code,ua_uax,actual_flown_miles,haul_type,departure_gate,arrival_gate,international_domestic_indicator,response_group,media_provider,hub_spoke
85,EWX,TLX,O4XXC6,9/16/2022,What item did you choose?,chicken entrée,,food & beverage,comp,10,Delayed,Economy,Economy,Atlantic,1,90+,non-elite,Gen X,B787-10,Mainline,78J,UA,5692,Long,C138,B9,International,member,PANASONIC,hub departure
86,TLX,EWX,O2XXYB,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,22,Delayed,Economy,Economy,Atlantic,2,90+,non-elite,Gen X,B787-10,Mainline,78J,UA,5692,Long,B6,B65,International,member,PANASONIC,spoke departure
85,EWX,TLX,BYXXFJ,9/16/2022,What item did you choose?,chicken entrée,,food & beverage,comp,10,Delayed,Economy,Economy,Atlantic,1,90+,,Boomer,B787-10,Mainline,78J,UA,5692,Long,C138,B9,International,non-member,PANASONIC,hub departure
85,EWX,TLX,BYXXFJ,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,10,Delayed,Economy,Economy,Atlantic,1,90+,,Boomer,B787-10,Mainline,78J,UA,5692,Long,C138,B9,International,non-member,PANASONIC,hub departure
86,TLX,EWX,CTXXFF,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,22,Delayed,Economy,Economy,Atlantic,1,90+,non-elite,Millennial,B787-10,Mainline,78J,UA,5692,Long,B6,B65,International,member,PANASONIC,spoke departure
85,EWX,TLX,O4XXC6,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,10,Delayed,Economy,Economy,Atlantic,1,90+,non-elite,Gen X,B787-10,Mainline,78J,UA,5692,Long,C138,B9,International,member,PANASONIC,hub departure
92,TLX,EWX,C7XXQP,9/16/2022,What item did you choose?,other (specify),,food & beverage,comp,-24,Early & Ontime,Economy,Economy Plus,Atlantic,1,90+,non-elite,Gen X,B787-10,Mainline,78J,UA,5692,Long,B7,B62,International,member,PANASONIC,spoke departure
86,TLX,EWX,CSXX44,9/16/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,22,Delayed,United Premium Plus,,Atlantic,2,90+,premier silver,Boomer,B787-10,Mainline,78J,UA,5692,Long,B6,B65,International,member,PANASONIC,spoke departure
86,TLX,EWX,CTXXFF,9/16/2022,What item did you choose?,other (specify),,food & beverage,comp,22,Delayed,Economy,Economy,Atlantic,1,90+,non-elite,Millennial,B787-10,Mainline,78J,UA,5692,Long,B6,B65,International,member,PANASONIC,spoke departure
60,FRX,SFX,OPXXN4,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,24,Delayed,Economy,Economy,Atlantic,1,90+,,Boomer,B777-300,Mainline,77X,UA,5700,Long,Z20,G12,International,non-member,PANASONIC,spoke departure
60,FRX,SFX,GHXX4K,9/16/2022,What item did you choose?,other (specify),,food & beverage,comp,24,Delayed,Economy,Economy,Atlantic,1,90+,,Gen X,B777-300,Mainline,77X,UA,5700,Long,Z20,G12,International,non-member,PANASONIC,spoke departure
60,FRX,SFX,OPXXN4,9/16/2022,What item did you choose?,chicken entrée,,food & beverage,comp,24,Delayed,Economy,Economy,Atlantic,1,90+,,Boomer,B777-300,Mainline,77X,UA,5700,Long,Z20,G12,International,non-member,PANASONIC,spoke departure
927,SFX,FRX,LFXXTQ,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-22,Early & Ontime,Economy,Economy,Atlantic,1,90+,non-elite,Millennial,B777-300,Mainline,77X,UA,5700,Long,G12,A25,International,member,PANASONIC,hub departure
60,FRX,SFX,CBXX4W,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,24,Delayed,Economy,Economy,Atlantic,1,90+,non-elite,Boomer,B777-300,Mainline,77X,UA,5700,Long,Z20,G12,International,member,PANASONIC,spoke departure
927,SFX,FRX,FXXXJN,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-22,Early & Ontime,Economy,Economy,Atlantic,1,90+,,Millennial,B777-300,Mainline,77X,UA,5700,Long,G12,A25,International,non-member,PANASONIC,hub departure
927,SFX,FRX,FXXXJN,9/16/2022,What item did you choose?,chicken entrée,,food & beverage,comp,-22,Early & Ontime,Economy,Economy,Atlantic,1,90+,,Millennial,B777-300,Mainline,77X,UA,5700,Long,G12,A25,International,non-member,PANASONIC,hub departure
60,FRX,SFX,GHXX4K,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,24,Delayed,Economy,Economy,Atlantic,1,90+,,Gen X,B777-300,Mainline,77X,UA,5700,Long,Z20,G12,International,non-member,PANASONIC,spoke departure
60,FRX,SFX,CBXX4W,9/16/2022,What item did you choose?,other (specify),,food & beverage,comp,24,Delayed,Economy,Economy,Atlantic,1,90+,non-elite,Boomer,B777-300,Mainline,77X,UA,5700,Long,Z20,G12,International,member,PANASONIC,spoke departure
46,ZRX,SFX,NRXXN4,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,40,Delayed,Economy,Economy Plus,Atlantic,1,90+,,Boomer,B777-200,Mainline,77E,UA,5841,Long,E42,G5,International,non-member,PANASONIC,spoke departure
45,SFX,ZRX,BEXXFH,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,13,Delayed,Business,,Atlantic,1,90+,premier 1k,Gen X,B777-200,Mainline,77E,UA,5841,Long,G7,E42,International,member,PANASONIC,hub departure
45,SFX,ZRX,FTXX7Q,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,13,Delayed,Economy,Economy,Atlantic,1,90+,,Gen X,B777-200,Mainline,77E,UA,5841,Long,G7,E42,International,non-member,PANASONIC,hub departure
46,ZRX,SFX,OTXXMJ,9/16/2022,What item did you choose?,chicken entrée,,food & beverage,comp,40,Delayed,Business,,Atlantic,2,90+,premier 1k,Millennial,B777-200,Mainline,77E,UA,5841,Long,E42,G5,International,member,PANASONIC,spoke departure
46,ZRX,SFX,OTXXMJ,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,40,Delayed,Business,,Atlantic,2,90+,premier 1k,Millennial,B777-200,Mainline,77E,UA,5841,Long,E42,G5,International,member,PANASONIC,spoke departure
196,MUX,SFX,MWXXQL,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,1,Delayed,Business,,Atlantic,1,80+,premier silver,Gen X,B777-300,Mainline,77X,UA,5889,Long,H08,G5,International,member,PANASONIC,spoke departure
196,MUX,SFX,BJXX8P,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,1,Delayed,Business,,Atlantic,1,80+,global services,Gen X,B777-300,Mainline,77X,UA,5889,Long,H08,G5,International,member,PANASONIC,spoke departure
196,MUX,SFX,BJXX8P,9/16/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,1,Delayed,Business,,Atlantic,1,80+,global services,Gen X,B777-300,Mainline,77X,UA,5889,Long,H08,G5,International,member,PANASONIC,spoke departure
196,MUX,SFX,B5XXRW,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,1,Delayed,Business,,Atlantic,2,80+,premier platinum,Boomer,B777-300,Mainline,77X,UA,5889,Long,H08,G5,International,member,PANASONIC,spoke departure
196,MUX,SFX,B5XXRW,9/16/2022,What item did you choose?,chicken entrée,,food & beverage,comp,1,Delayed,Business,,Atlantic,2,80+,premier platinum,Boomer,B777-300,Mainline,77X,UA,5889,Long,H08,G5,International,member,PANASONIC,spoke departure
196,MUX,SFX,MWXXQL,9/16/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,1,Delayed,Business,,Atlantic,1,80+,premier silver,Gen X,B777-300,Mainline,77X,UA,5889,Long,H08,G5,International,member,PANASONIC,spoke departure
74,TLX,IAX,EXXXCJ,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-6,Early & Ontime,Economy,Economy,Atlantic,2,90+,premier silver,Millennial,B787-8,Mainline,78H,UA,5904,Long,B7,C2,International,member,PANASONIC,spoke departure
74,TLX,IAX,LVXXXX,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-6,Early & Ontime,Economy,Economy,Atlantic,1,90+,non-elite,Boomer,B787-8,Mainline,78H,UA,5904,Long,B7,C2,International,member,PANASONIC,spoke departure
73,IAX,TLX,K3XXY3,9/16/2022,What item did you choose?,chicken entrée,,food & beverage,comp,1,Delayed,Economy,Economy,Atlantic,1,90+,premier silver,Gen X,B787-8,Mainline,78H,UA,5904,Long,C1,B8,International,member,PANASONIC,hub departure
74,TLX,IAX,NSXXFL,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-6,Early & Ontime,Economy,Economy,Atlantic,1,90+,non-elite,Boomer,B787-8,Mainline,78H,UA,5904,Long,B7,C2,International,member,PANASONIC,spoke departure
74,TLX,IAX,EXXXCJ,9/16/2022,What item did you choose?,other (specify),,food & beverage,comp,-6,Early & Ontime,Economy,Economy,Atlantic,2,90+,premier silver,Millennial,B787-8,Mainline,78H,UA,5904,Long,B7,C2,International,member,PANASONIC,spoke departure
73,IAX,TLX,CVXXPD,9/16/2022,What item did you choose?,chicken entrée,,food & beverage,comp,1,Delayed,Economy,Economy,Atlantic,1,90+,non-elite,Silent,B787-8,Mainline,78H,UA,5904,Long,C1,B8,International,member,PANASONIC,hub departure
74,TLX,IAX,JJXXP0,9/16/2022,What item did you choose?,beef entrée,,food & beverage,comp,-6,Early & Ontime,Business,,Atlantic,1,90+,non-elite,Silent,B787-8,Mainline,78H,UA,5904,Long,B7,C2,International,member,PANASONIC,spoke departure
74,TLX,IAX,LBXX90,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-6,Early & Ontime,Economy,Economy,Atlantic,2,90+,non-elite,Gen X,B787-8,Mainline,78H,UA,5904,Long,B7,C2,International,member,PANASONIC,spoke departure
74,TLX,IAX,NSXXFL,9/16/2022,What item did you choose?,chicken entrée,,food & beverage,comp,-6,Early & Ontime,Economy,Economy,Atlantic,1,90+,non-elite,Boomer,B787-8,Mainline,78H,UA,5904,Long,B7,C2,International,member,PANASONIC,spoke departure
74,TLX,IAX,O3XXEW,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-6,Early & Ontime,Economy,Economy,Atlantic,2,90+,non-elite,Boomer,B787-8,Mainline,78H,UA,5904,Long,B7,C2,International,member,PANASONIC,spoke departure
73,IAX,TLX,K3XXY3,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,1,Delayed,Economy,Economy,Atlantic,1,90+,premier silver,Gen X,B787-8,Mainline,78H,UA,5904,Long,C1,B8,International,member,PANASONIC,hub departure
73,IAX,TLX,CVXXPD,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,1,Delayed,Economy,Economy,Atlantic,1,90+,non-elite,Silent,B787-8,Mainline,78H,UA,5904,Long,C1,B8,International,member,PANASONIC,hub departure
74,TLX,IAX,JJXXP0,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-6,Early & Ontime,Business,,Atlantic,1,90+,non-elite,Silent,B787-8,Mainline,78H,UA,5904,Long,B7,C2,International,member,PANASONIC,spoke departure
883,HNX,ORX,B9XX57,9/16/2022,What item did you choose?,other (specify),,food & beverage,comp,1,Delayed,Economy,Economy,Pacific,2,80+,non-elite,Millennial,B787-9,Mainline,78P,UA,6306,Long,111,M25,International,member,PANASONIC,spoke departure
882,ORX,HNX,E9XX68,9/16/2022,What item did you choose?,chicken entrée,,food & beverage,comp,-11,Early & Ontime,Economy,Economy,Pacific,2,0 to 70,,Millennial,B787-9,Mainline,78P,UA,6306,Long,C20,111,International,non-member,PANASONIC,hub departure
883,HNX,ORX,B9XX57,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,1,Delayed,Economy,Economy,Pacific,2,80+,non-elite,Millennial,B787-9,Mainline,78P,UA,6306,Long,111,M25,International,member,PANASONIC,spoke departure
882,ORX,HNX,E9XX68,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-11,Early & Ontime,Economy,Economy,Pacific,2,0 to 70,,Millennial,B787-9,Mainline,78P,UA,6306,Long,C20,111,International,non-member,PANASONIC,hub departure
872,SFX,TPX,P8XX2W,9/16/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,37,Delayed,Economy,Economy,Pacific,1,70+,non-elite,Boomer,B777-300,Mainline,77X,UA,6469,Long,G8,D6,International,member,PANASONIC,hub departure
872,SFX,TPX,CNXXLW,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,37,Delayed,Business,,Pacific,2,70+,premier gold,Boomer,B777-300,Mainline,77X,UA,6469,Long,G8,D6,International,member,PANASONIC,hub departure
872,SFX,TPX,P8XX2W,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,37,Delayed,Economy,Economy,Pacific,1,70+,non-elite,Boomer,B777-300,Mainline,77X,UA,6469,Long,G8,D6,International,member,PANASONIC,hub departure
872,SFX,TPX,JKXXMR,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,37,Delayed,Economy,Economy,Pacific,1,70+,non-elite,Millennial,B777-300,Mainline,77X,UA,6469,Long,G8,D6,International,member,PANASONIC,hub departure
7,NRX,IAX,G3XX4M,9/16/2022,What item did you choose?,chicken entrée,,food & beverage,comp,-10,Early & Ontime,United Premium Plus,,Pacific,1,90+,non-elite,Millennial,B777-200,Mainline,77E,UA,6643,Long,33,E20,International,member,PANASONIC,spoke departure
7,NRX,IAX,G3XX4M,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-10,Early & Ontime,United Premium Plus,,Pacific,1,90+,non-elite,Millennial,B777-200,Mainline,77E,UA,6643,Long,33,E20,International,member,PANASONIC,spoke departure
79,NRX,EWX,PJXXYP,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-15,Early & Ontime,Business,,Pacific,1,80+,premier 1k,Millennial,B777-200,Mainline,77E,UA,6732,Long,31,B54,International,member,PANASONIC,spoke departure
79,NRX,EWX,E4XXZW,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-15,Early & Ontime,United Premium Plus,,Pacific,1,80+,non-elite,Millennial,B777-200,Mainline,77E,UA,6732,Long,31,B54,International,member,PANASONIC,spoke departure
79,NRX,EWX,PJXXYP,9/16/2022,What item did you choose?,seafood entrée,,food & beverage,comp,-15,Early & Ontime,Business,,Pacific,1,80+,premier 1k,Millennial,B777-200,Mainline,77E,UA,6732,Long,31,B54,International,member,PANASONIC,spoke departure
79,NRX,EWX,E4XXZW,9/16/2022,What item did you choose?,other (specify),,food & beverage,comp,-15,Early & Ontime,United Premium Plus,,Pacific,1,80+,non-elite,Millennial,B777-200,Mainline,77E,UA,6732,Long,31,B54,International,member,PANASONIC,spoke departure
84,DEX,EWX,DKXX1V,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-24,Early & Ontime,Business,,Atlantic,1,90+,premier 1k,Gen X,B787-9,Mainline,78P,UA,7323,Long,1,B63,International,member,PANASONIC,spoke departure
83,EWX,DEX,D3XXCK,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-41,Early & Ontime,Economy,Economy Plus,Atlantic,1,90+,non-elite,Gen X,B787-9,Mainline,78P,UA,7323,Long,C75,HOLD,International,member,PANASONIC,hub departure
83,EWX,DEX,BHXXRK,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-41,Early & Ontime,Economy,Economy,Atlantic,2,90+,non-elite,Millennial,B787-9,Mainline,78P,UA,7323,Long,C75,HOLD,International,member,PANASONIC,hub departure
84,DEX,EWX,F3XX10,9/16/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,-24,Early & Ontime,Economy,Economy Plus,Atlantic,1,90+,premier platinum,Gen X,B787-9,Mainline,78P,UA,7323,Long,1,B63,International,member,PANASONIC,spoke departure
84,DEX,EWX,DKXX1V,9/16/2022,What item did you choose?,seafood entrée,,food & beverage,comp,-24,Early & Ontime,Business,,Atlantic,1,90+,premier 1k,Gen X,B787-9,Mainline,78P,UA,7323,Long,1,B63,International,member,PANASONIC,spoke departure
83,EWX,DEX,H6XX8K,9/16/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,-41,Early & Ontime,Economy,Economy,Atlantic,1,90+,non-elite,Boomer,B787-9,Mainline,78P,UA,7323,Long,C75,HOLD,International,member,PANASONIC,hub departure
83,EWX,DEX,H6XX8K,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-41,Early & Ontime,Economy,Economy,Atlantic,1,90+,non-elite,Boomer,B787-9,Mainline,78P,UA,7323,Long,C75,HOLD,International,member,PANASONIC,hub departure
83,EWX,DEX,BHXXRK,9/16/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,-41,Early & Ontime,Economy,Economy,Atlantic,2,90+,non-elite,Millennial,B787-9,Mainline,78P,UA,7323,Long,C75,HOLD,International,member,PANASONIC,hub departure
84,DEX,EWX,F3XX10,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-24,Early & Ontime,Economy,Economy Plus,Atlantic,1,90+,premier platinum,Gen X,B787-9,Mainline,78P,UA,7323,Long,1,B63,International,member,PANASONIC,spoke departure
871,SYX,SFX,E8XXY9,9/16/2022,What item did you choose?,chicken entrée,,food & beverage,comp,-16,Early & Ontime,Economy,Economy,Pacific,2,90+,,Boomer,B777-300,Mainline,77X,UA,7417,Long,53,G10,International,non-member,PANASONIC,spoke departure
864,SFX,SYX,B6XX63,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-20,Early & Ontime,Economy,Economy,Pacific,2,80+,non-elite,Millennial,B777-300,Mainline,77X,UA,7417,Long,G9,57,International,member,PANASONIC,hub departure
871,SYX,SFX,EXXXV2,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-16,Early & Ontime,Economy,Economy,Pacific,2,90+,premier 1k,Gen X,B777-300,Mainline,77X,UA,7417,Long,53,G10,International,member,PANASONIC,spoke departure
871,SYX,SFX,E8XXY9,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-16,Early & Ontime,Economy,Economy,Pacific,2,90+,,Boomer,B777-300,Mainline,77X,UA,7417,Long,53,G10,International,non-member,PANASONIC,spoke departure
864,SFX,SYX,H2XXLR,9/16/2022,What item did you choose?,other (specify),,food & beverage,comp,-20,Early & Ontime,Business,,Pacific,1,80+,premier silver,Gen X,B777-300,Mainline,77X,UA,7417,Long,G9,57,International,member,PANASONIC,hub departure
871,SYX,SFX,D4XX35,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-16,Early & Ontime,Business,,Pacific,3,90+,premier 1k,Gen X,B777-300,Mainline,77X,UA,7417,Long,53,G10,International,member,PANASONIC,spoke departure
871,SYX,SFX,D4XX35,9/16/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,-16,Early & Ontime,Business,,Pacific,3,90+,premier 1k,Gen X,B777-300,Mainline,77X,UA,7417,Long,53,G10,International,member,PANASONIC,spoke departure
864,SFX,SYX,H2XXLR,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-20,Early & Ontime,Business,,Pacific,1,80+,premier silver,Gen X,B777-300,Mainline,77X,UA,7417,Long,G9,57,International,member,PANASONIC,hub departure
871,SYX,SFX,EXXXV2,9/16/2022,What item did you choose?,other (specify),,food & beverage,comp,-16,Early & Ontime,Economy,Economy,Pacific,2,90+,premier 1k,Gen X,B777-300,Mainline,77X,UA,7417,Long,53,G10,International,member,PANASONIC,spoke departure
955,SFX,TLX,MKXXHM,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-30,Early & Ontime,Business,,Atlantic,1,90+,premier 1k,Gen X,B777-200,Mainline,77E,UA,7421,Long,G5,B7,International,member,PANASONIC,hub departure
955,SFX,TLX,MKXXHM,9/16/2022,What item did you choose?,beef entrée,,food & beverage,comp,-30,Early & Ontime,Business,,Atlantic,1,90+,premier 1k,Gen X,B777-200,Mainline,77E,UA,7421,Long,G5,B7,International,member,PANASONIC,hub departure
955,SFX,TLX,LGXXCD,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-30,Early & Ontime,Economy,Economy,Atlantic,1,90+,,Millennial,B777-200,Mainline,77E,UA,7421,Long,G5,B7,International,non-member,PANASONIC,hub departure
713,ORX,DEX,L5XXT4,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-2,Early & Ontime,United Premium Plus,,Atlantic,1,90+,global services,Boomer,B787-9,Mainline,78P,UA,7483,Long,C18,HOLD,International,member,PANASONIC,hub departure
714,DEX,ORX,ILXXMW,9/16/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,-15,Early & Ontime,Economy,Economy,Atlantic,2,70+,,Millennial,B787-9,Mainline,78P,UA,7483,Long,7,M29,International,non-member,PANASONIC,spoke departure
713,ORX,DEX,E4XXQZ,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-2,Early & Ontime,Business,,Atlantic,2,90+,premier platinum,Millennial,B787-9,Mainline,78P,UA,7483,Long,C18,HOLD,International,member,PANASONIC,hub departure
713,ORX,DEX,E4XXQZ,9/16/2022,What item did you choose?,chicken entrée,,food & beverage,comp,-2,Early & Ontime,Business,,Atlantic,2,90+,premier platinum,Millennial,B787-9,Mainline,78P,UA,7483,Long,C18,HOLD,International,member,PANASONIC,hub departure
713,ORX,DEX,FSXXZW,9/16/2022,What item did you choose?,chicken entrée,,food & beverage,comp,-2,Early & Ontime,Economy,Economy Plus,Atlantic,2,90+,premier 1k,Gen X,B787-9,Mainline,78P,UA,7483,Long,C18,HOLD,International,member,PANASONIC,hub departure
713,ORX,DEX,FSXXZW,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-2,Early & Ontime,Economy,Economy Plus,Atlantic,2,90+,premier 1k,Gen X,B787-9,Mainline,78P,UA,7483,Long,C18,HOLD,International,member,PANASONIC,hub departure
713,ORX,DEX,L5XXT4,9/16/2022,What item did you choose?,vegetarian entrée,,food & beverage,comp,-2,Early & Ontime,United Premium Plus,,Atlantic,1,90+,global services,Boomer,B787-9,Mainline,78P,UA,7483,Long,C18,HOLD,International,member,PANASONIC,hub departure
714,DEX,ORX,ILXXMW,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-15,Early & Ontime,Economy,Economy,Atlantic,2,70+,,Millennial,B787-9,Mainline,78P,UA,7483,Long,7,M29,International,non-member,PANASONIC,spoke departure
843,SYX,LAX,JCXXWE,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-30,Early & Ontime,Business,,Pacific,2,90+,premier platinum,Boomer,B787-9,Mainline,78P,UA,7487,Long,54,156,International,member,PANASONIC,spoke departure
843,SYX,LAX,JCXXWE,9/16/2022,What item did you choose?,other (specify),,food & beverage,comp,-30,Early & Ontime,Business,,Pacific,2,90+,premier platinum,Boomer,B787-9,Mainline,78P,UA,7487,Long,54,156,International,member,PANASONIC,spoke departure
189,EWX,JNX,F0XXHD,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-15,Early & Ontime,Economy,Economy,Atlantic,1,80+,,Gen X,B787-9,Mainline,78P,UA,7989,Long,C136,A2,International,non-member,PANASONIC,hub departure
188,JNX,EWX,PZXXBM,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-6,Early & Ontime,Economy,Economy Plus,Atlantic,1,80+,,Boomer,B787-9,Mainline,78P,UA,7989,Long,A11,B65,International,non-member,PANASONIC,spoke departure
188,JNX,EWX,BVXXZ3,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-6,Early & Ontime,Business,,Atlantic,1,80+,non-elite,Boomer,B787-9,Mainline,78P,UA,7989,Long,A11,B65,International,member,PANASONIC,spoke departure
189,EWX,JNX,M9XXF8,9/16/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-15,Early & Ontime,Economy,Economy,Atlantic,1,80+,,Boomer,B787-9,Mainline,78P,UA,7989,Long,C136,A2,International,non-member,PANASONIC,hub departure
